0,4464,리스,리스 관심있습니다. 선납금없이 이용하는데 가능한지 궁금합니다.,,2021-06-30 18:29:07.040,kimjr1201,2021-07-01 09:21:06.280
0,4463,신용회복중 활부나 리스 가능,"신용회복위원회에 22년 1월에 금액을 납부 해야하는 상황인데 차량이 8월 정도 필요합니다.
그래서 리스나 활부 중에 가능 한게 있나요?","<p>안녕하세요 김시온 고객님.</p><p>신용회복중 할부 또는 리스진행이 어려운점 양해부탁드립니다.</p><p>렌트는 심사여부에 따라 가능여부 달라지고 있는데, 해당상담 도와드려도 괜찮으실까요?</p><p>문자확인 후 재문의(대표번호, 카카오톡 리본카, 홈페이지) 남겨주시면 확인하여 추가상담도와드리겠습니다.</p><p>오늘도 즐거운하루 시작되세요, 감사합니다.</p>",2021-06-30 18:03:26.257,kimjr1201,2021-07-01 09:18:25.203
0,4454,렌트,혹시 가격및 면책금이랑 차량은 혹시어떻게인도받나요?,,2021-06-30 11:13:40.243,kimjr1201,2021-06-30 11:14:33.253
0,4451,제차,카이런 매물 내놓고  ㅈ,"<p>안녕하세요 권낙현 고객님.</p><p>문의주시는 내용이 대차구매가 맞으실까요?</p><p>우선 금일 담당매니저를 통하여 상세상담도와드릴 수 있도록 하겠습니다.</p><p>담당매니저를 통하여 전화드리오니, 판매하실 카이런 차량의 정보(번호, 연식, 주행거리, 사고유무 등) 확인부탁드립니다.</p><p>감사합니다.</p>",2021-06-30 10:25:25.690,kimjr1201,2021-06-30 10:47:04.007
0,4447,만 21세 이상 보험 넣으면,대충 달에 얼마정도 들까요?? 그리고 기본옵션들 뭐뭐 들어있나요!??,"<p>안녕하세요 김민성 고객님.</p><p>문의주신 올 뉴K3 202무6461 차량은 렌트불가, 판매만 가능한 차량으로 확인되는점 안내드립니다.</p><p>구매방법에는 일시불(현금/카드), 할부, 리스가 있으며 보다 상세한 상담은 담당매니저를 통하여 도와드리겠습니다.</p><p>우선 요청주신 12시경 담당매니저의 개인연락처로 전화드리오니 확인후 통화부탁드립니다.</p><p>오늘도 즐거운 하루 시작보내세요, 감사합니다 ^^</p>",2021-06-30 05:01:24.870,kimjr1201,2021-06-30 09:13:36.437
0,4446,전기화물차,1톤 전기 화물차에  대하여  상담코져합니다,"<p>안녕하세요 이광호 고객님.</p><p>문의주신 전기화물차 확인하였으나, 아직은 매물이 없는것으로 확인되고 있습니다.</p><p>현재 입고예정인 전기화물차량도 확인되지 않고 있어 빠른 상담드리지 못하는점 양해부탁드립니다.</p><p>혹시 전기화물차 아닌 일반화물차량도 상담가능한지 확인요청드리며,&nbsp;</p><p>가능하다면 일반화물차 상담드리오니 확인후 대표번호, 카카오톡 리본카, 홈페이지로 문의주세요.</p><p>오늘도 즐거운 하루시작 보내세요, 감사합니다 :)</p>",2021-06-29 21:33:58.460,kimjr1201,2021-06-30 09:44:42.507
0,4445,상담,상담요청,<p>안녕하세요 이범규 고객님.</p><p>문의주신 올 뉴모닝 31조8029 차량 확인하여 연락드리겠습니다.</p><p>담당매니저를 통하여 전화드리오니 확인후 궁금하신점 문의주시면 되십니다.</p><p>오늘도 즐거운 하루시작되세요.</p><p>감사합니다.</p>,2021-06-29 20:49:19.123,kimjr1201,2021-06-30 09:01:38.357
0,4433,차량 옵션 궁금합니다.,차량 옵션 및 사고유무 궁금합니다.,"<p>안녕하세요 윤한민 고객님.</p><p>문의주신 쏘렌토 하이브리드 295서7454 차량은 현재 준비중인것으로 확인됩니다.</p><p>상담하기 오른쪽에 입고알림버튼이 있으며, 입고신청시 고객님께 바로 알림톡드리고 있습니다.</p><p>출고옵션 확인시&nbsp;<span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">드라이브와이즈,헤드업디스플레이,KRELL사운드,스마트커넥트,스타일 있으며,&nbsp;</span><span style=""letter-spacing: 0px;"">사고없는차량입니다.&nbsp;</span></p><p><span style=""letter-spacing: 0px;"">우선 관련하여 담당매니저 상세상담도와드릴 수 있도록 하겠습니다.</span></p><p><span style=""letter-spacing: 0px;"">오늘도 즐거운 하루 시작되세요.</span></p><p><span style=""letter-spacing: 0px;"">감사합니다.</span></p>",2021-06-28 23:59:47.630,kimjr1201,2021-06-29 09:10:57.343
0,4425,차량 판매,"<p><br></p><p>안녕하세요! 대차(트레이드오프) 말고 그냥 ""내차 판매"" 만 진행 가능한지도 궁금해요~</p><p>그리고 내차 판매 시에 어떤 프로세스로 진행되는지도 궁금합니다! :D</p>",,2021-06-28 13:21:48.903,kimjr1201,2021-06-28 13:25:42.543
0,4424,서비스 신청 드려요,"되도록이면 토/일요일이면 좋을 것 같습니다.
안되면 최대한 빠른 일정으로 확인 부탁 드립니다.
지역은 충북 충주입니다.",<p>안녕하세요 김종태 고객님.</p><p>찾아가는케어서비스 유상구매하신건 확인되었습니다.</p><p>유선안내드린것처럼 점검담당매니저 연락드린 후 스케줄 조율도와드리겠습니다.</p><p>주말 및 공휴일은 담당매니저님께서도 휴무일이기때문에 서비스 어려운점 양해부탁드립니다.</p><p>관련하여 상세안내 연락드리겠습니다.</p><p>감사합니다.</p>,2021-06-28 11:01:23.880,kimjr1201,2021-06-28 11:03:40.753
